Model ID,12,24,36,48,72,96,120
OFCL,6.2,9.0,11.3,12.4,12.6,13.8,14.6
OCD5,7.9,12.9,16.7,19.0,21.1,22.1,20.9
HWFI,7.1,9.6,11.5,12.6,12.7,14.1,16.8
HMNI,7.6,10.5,12.5,12.9,13.9,15.7,17.0
DSHP,7.1,11.0,13.4,14.0,15.0,16.9,17.5
LGEM,7.0,10.5,13.1,13.6,13.9,15.2,15.6
IVCN,6.3,9.1,11.1,11.7,11.7,12.8,14.1
FSSE,6.0,8.1,9.5,9.8,11.5,13.6,13.8
HCCA,6.3,9.0,11.1,11.5,12.2,12.8,15.0
GFSI,8.6,12.2,14.9,17.0,18.8,20.8,19.8
EMXI,9.6,14.4,18.4,21.2,24.3,26.1,26.4
CTCI,8.0,10.9,13.8,14.7,13.8,12.7,16.0
TCLP,7.6,13.4,17.8,20.5,22.9,23.6,25.0
Forecasts,280,261,242,224,188,147,128
