Model ID,12,24,36,48,72,96,120
OFCL,0.4,1.3,1.5,0.6,1.7,-0.5,-2.0
OCD5,-0.5,-0.5,-0.7,-0.9,0.1,2.3,2.1
HWFI,-2.0,-1.7,-2.1,-2.0,-0.5,2.5,0.6
HMNI,-0.9,-1.8,-3.4,-4.4,-7.6,-8.9,-11.9
DSHP,-0.2,0.3,0.2,-0.1,0.1,-1.1,-0.8
LGEM,-0.5,-0.3,-0.4,-0.7,0.1,-1.0,-1.9
IVCN,-0.9,-1.0,-1.5,-1.6,-1.6,-1.9,-3.7
FSSE,-0.1,1.0,1.4,1.7,2.5,0.4,-0.5
HCCA,-0.9,-0.7,-1.3,-0.7,0.0,1.0,-0.3
GFSI,-0.9,-0.6,-1.1,-1.6,-1.9,-1.0,0.1
EMXI,-2.5,-4.0,-6.2,-8.1,-9.6,-13.3,-17.9
TCLP,-1.2,-2.3,-3.0,-3.4,-4.0,-3.8,-3.2
Forecasts,296,275,250,224,173,129,99
